project_id,project_name,city,neighborhood,latitude,longitude,property_type,quality_tier,launch_date,total_units,avg_price,total_leads,qualified_leads,qualified_lead_rate,visits,reservations,sales,spend,cpl,cpql,lead_to_visit_rate,visit_to_reservation_rate,reservation_to_sale_rate,revenue,avg_sale_price,unsold_inventory,sell_through_rate
P0200,Ennasr Business Homes,Ariana,Ennasr,36.861682,10.147474,Office,average,2025-04-28,108,231000,563,212,0.3765541740674956,131,43,21.0,33622.97,59.721083481349915,158.59891509433962,0.23268206039076378,0.3282442748091603,0.4883720930232558,4632143.83,220578.2776190476,87.0,0.19444444444444445
P0146,Ennasr Business Terraces,Ariana,Ennasr,36.858694,10.154619,Office,average,2025-02-19,118,234000,753,288,0.38247011952191234,199,54,31.0,43579.5,57.874501992031874,151.31770833333334,0.2642762284196547,0.271356783919598,0.5740740740740741,6766653.64,218279.14967741934,87.0,0.2627118644067797
P0182,Ennasr Compact Heights,Ariana,Ennasr,36.863836,10.158998,Studio,average,2025-06-04,174,148000,718,292,0.40668523676880225,173,65,31.0,46834.24,65.22874651810585,160.3912328767123,0.24094707520891365,0.37572254335260113,0.47692307692307695,4341289.2,140041.5870967742,143.0,0.1781609195402299
P0173,Ennasr Compact Terraces,Ariana,Ennasr,36.864731,10.154716,Studio,strong,2025-01-27,67,267000,1672,756,0.45215311004784686,521,205,67.0,86302.45,51.61629784688995,114.15667989417989,0.3116028708133971,0.3934740882917466,0.32682926829268294,16888185.01,252062.46283582092,0.0,1.0
P0188,Ennasr Compact Vista,Ariana,Ennasr,36.86047,10.161841,Studio,average,2025-02-13,128,178000,1080,436,0.40370370370370373,286,82,44.0,63876.9,59.14527777777778,146.5066513761468,0.26481481481481484,0.2867132867132867,0.5365853658536586,7395521.97,168080.04477272727,84.0,0.34375
P0125,Ennasr Signature Heights,Ariana,Ennasr,36.861139,10.15205,Villa,average,2025-04-27,64,453000,513,96,0.1871345029239766,99,18,9.0,38491.5,75.03216374269006,400.953125,0.19298245614035087,0.18181818181818182,0.5,3897231.36,433025.70666666667,55.0,0.140625
P0135,Ennasr Signature Living,Ariana,Ennasr,36.866712,10.148379,Villa,strong,2025-06-01,48,362000,775,241,0.3109677419354839,201,73,31.0,43595.08,56.25171612903226,180.8924481327801,0.2593548387096774,0.36318407960199006,0.4246575342465753,10587294.13,341525.6170967742,17.0,0.6458333333333334
P0151,Ennasr Signature Residences,Ariana,Ennasr,36.858474,10.153956,Villa,strong,2025-02-22,103,306000,1196,508,0.42474916387959866,341,129,88.0,59835.57,50.02974080267558,117.78655511811023,0.28511705685618727,0.3782991202346041,0.6821705426356589,25337723.21,287928.6728409091,15.0,0.8543689320388349
P0179,Ennasr Signature Residences,Ariana,Ennasr,36.86092,10.159019,Villa,average,2025-02-06,74,496000,585,95,0.1623931623931624,101,18,8.0,48240.49,82.46237606837606,507.79463157894736,0.17264957264957265,0.1782178217821782,0.4444444444444444,3682737.4899999998,460342.18624999997,66.0,0.10810810810810811
P0199,Ennasr Signature Residences,Ariana,Ennasr,36.863667,10.159887,Villa,weak,2025-04-19,39,324000,392,110,0.28061224489795916,82,16,4.0,31263.99,79.75507653061224,284.2180909090909,0.20918367346938777,0.1951219512195122,0.25,1215925.28,303981.32,35.0,0.10256410256410256
